nazev,mira,sleva,stara_cena,nova_cena,platnost
 Jameson Irish Whiskey,70cl,-30%,499.90,349.90,07. 09. 2020
 Tullamore D.E.W. Irish whiskey,700ml,-36%,519.00,329.90,31. 08. 2020
 Tullamore Dew XO Rum Cask,0.7l,-19%,619.00,499.00,31. 08. 2020
 Nestville Blended Whisky,70cl,-28%,389.90,279.90,07. 09. 2020
 Jack Daniel's Gentleman Jack,0.7l,-10%,999.00,899.00,01. 09. 2020
 Captain Morgan Black Spiced,700ml,-9%,519.00,469.90,31. 08. 2020
 Captain Morgan Dark Rum,700ml,-20%,439.90,349.90,31. 08. 2020
 Dictador Rum 12YO,0.7l,-10%,999.00,899.00,01. 09. 2020
 Havana Club Añejo Especial kubánský rum,0.7l,-20%,499.90,399.90,31. 08. 2020
 Pampero Aniversario Reserva Exclusiva rum,70cl,-13%,869.00,749.90,31. 08. 2020
 Pampero Especial Rum,0.7l,-20%,569.00,449.90,31. 08. 2020
 Pampero Seleccion,0.7l,-19%,619.00,499.90,31. 08. 2020
 Captain Morgan White Rum,0.7l,-20%,439.90,349.90,31. 08. 2020
 Key Rum caribbean white,500ml,-18%,219.90,179.90,07. 09. 2020
 Absolut Vodka,70cl,-23%,459.90,349.90,07. 09. 2020
 Amundsen Premium vodka,500ml,-14%,209.90,179.90,31. 08. 2020
 Amundsen Premium vodka,700ml,-10%,279.90,249.90,07. 09. 2020
 Finlandia Vodka,0.5l,-26%,339.90,249.90,18. 08. 2020
 Finlandia Vodka,0.7l,-37%,429.90,269.90,18. 08. 2020
 Finlandia Vodka dárkové balení,700ml,-26%,449.90,329.90,18. 08. 2020
 Nicolaus Vodka extra jemná,500ml,-27%,179.90,129.90,18. 08. 2020
 Pure Star Original vodka,1l,-11%,214.90,189.90,18. 08. 2020
 Finlandia Coconut,0.7l,-37%,429.90,269.90,18. 08. 2020
 Finlandia Cranberry,0.7l,-37%,429.90,269.90,18. 08. 2020
 Nicolaus Cranberry vodka,0.5l,-33%,179.90,119.90,07. 09. 2020
 Nicolaus Lime vodka,500ml,-33%,179.90,119.90,07. 09. 2020
 Nicolaus Mango vodka,500ml,-33%,179.90,119.90,07. 09. 2020
 Pure Star Brusinková vodka,500ml,-13%,109.90,94.90,18. 08. 2020
 Pure Star Limetková vodka,500ml,-13%,109.90,94.90,18. 08. 2020
 Aperol,70cl,-26%,339.90,249.90,11. 08. 2020
 Fernet Stock Hruška,0.5l,-22%,179.90,139.90,18. 08. 2020
 Fernet Stock Standard 35%,0.5l,-22%,179.90,139.90,18. 08. 2020
 Fernet Stock Zetko zázvor & mango,0.5l,-22%,179.90,139.90,18. 08. 2020
 Jägermeister,0.7l,-36%,469.90,299.90,20. 08. 2020
 Jägermeister,1.0l,-18%,579.00,469.90,07. 09. 2020
 Jägermeister,700ml,-43%,649.00,369.90,07. 09. 2020
 Jägermeister Charakter Scharf,700ml,-36%,469.90,299.90,07. 09. 2020
 Stock Magister Dark,0.5l,-26%,189.90,139.90,31. 08. 2020
 Stock Magister original,0.5l,-26%,189.90,139.90,31. 08. 2020
 Malibu,70cl,-17%,339.90,279.90,07. 09. 2020
 Beefeater Blood Orange gin,0.7l,-30%,499.90,349.90,31. 08. 2020
 Beefeater London Dry Gin,70cl,-25%,469.90,349.90,31. 08. 2020
 Beefeater Pink,70cl,-30%,499.90,349.90,31. 08. 2020
 Dynybyl Special Dry Gin,0.5l,-16%,179.90,149.90,31. 08. 2020
 Olmeca Tequila Blanco,70cl,-20%,539.00,429.90,31. 08. 2020
 Olmeca Tequila Reposado,70cl,-24%,569.00,429.90,31. 08. 2020
 Božkov Bílý kokosový,0.5l,-17%,169.90,139.90,18. 08. 2020
 Božkov Speciál kávový,0.5l,-17%,169.90,139.90,18. 08. 2020
 Božkov Speciál mandlový,0.5l,-17%,169.90,139.90,18. 08. 2020
 Božkov Tradiční,0.5l,-25%,159.90,119.90,18. 08. 2020
 Božkov Tradiční,0.7l,-21%,204.90,159.90,31. 08. 2020
 Captain Morgan Original Spiced Gold,700ml,-31%,439.90,299.90,31. 08. 2020
 Fernet Stock Lemon Mix,0.5l,-22%,179.90,139.90,18. 08. 2020
 Key Rum Spiced Gold,500ml,-18%,219.90,179.90,07. 09. 2020
 Le Charmante,0.75l,-20%,49.90,39.90,18. 08. 2020
