nazev,mira,sleva,stara_cena,nova_cena,platnost
 Habánské Sklepy Rulandské bílé jakostní odrůdové suché bílé víno,0.187l,-25%,39.90,29.90,31. 08. 2020
 Habánské Sklepy Rulandské bílé jakostní víno odrůdové suché bílé,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Rulandské šedé jakostní víno odrůdové suché bílé,0.75l,-30%,129.90,89.90,11. 08. 2020
 Habánské Sklepy Ryzlink rýnský jakostní víno odrůdové suché bílé,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Ryzlink vlašský suché bílé víno,0.75l,-14%,104.90,89.90,11. 08. 2020
 Habánské Sklepy Sauvignon suché bílé víno,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Tramín červený jakostní víno odrůdové suché bílé,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Veltínské Zelené suché bílé víno,0.75l,-38%,104.90,64.90,11. 08. 2020
 Ludwig Culinary Collection Chardonnay výběr z hroznů víno polosuché,0.75l,-26%,189.90,139.90,31. 08. 2020
 Ludwig Culinary Collection Neuburské výběr z hroznů víno polosuché,0.75l,-26%,189.90,139.90,31. 08. 2020
 Ludwig Culinary Collection Tramín červený výběr z hroznů víno polosuché,0.75l,-26%,189.90,139.90,31. 08. 2020
 Ludwig Muscat víno bílé polosuché,0.75l,-30%,99.90,69.90,31. 08. 2020
 Ludwig Prime Line Chardonnay bílé víno suché,0.75l,-30%,99.90,69.90,31. 08. 2020
 Ludwig Rulandské šedé bílé víno suché,0.75l,-30%,99.90,69.90,31. 08. 2020
 Ludwig Rulandské šedé jakostní víno s přívlastkem pozdní sběr polosuché,0.75l,-25%,199.90,149.90,31. 08. 2020
 Ludwig Ryzlink vlašský jakostní víno s přívlastkem pozdní sběr polosuché,0.75l,-25%,199.90,149.90,31. 08. 2020
 Ludwig Veltlínské zelené moravské zemské víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Sovín Rulandské jakostní bílé víno s přívlastkem pozdní sběr bílé suché,0.75l,-13%,149.90,129.90,31. 08. 2020
 Sovín Veltlínské zelené jakostní víno s přívlastkem pozdní sběr bílé suché,0.75l,-13%,149.90,129.90,31. 08. 2020
 Sovín Veltlínské zelené moravské zemské víno bílé,0.75l,-20%,99.90,79.90,31. 08. 2020
 Templářské Sklepy Čejkovice Chardonnay jakostní víno s přívlastkem pozdní sběr bílé polosuché,0.75l,-35%,199.90,129.90,31. 08. 2020
 Templářské Sklepy Čejkovice Rulandské šedé jakostní víno s přívlastkem pozdní sběr,0.75l,-31%,189.90,129.90,31. 08. 2020
 Templářské Sklepy Čejkovice Tramín jakostní víno s přívlastkem pozdní sběr,0.75l,-31%,189.90,129.90,31. 08. 2020
 Vinařství Mutěnice Epic Pálava víno bílé,0.75l,-41%,169.90,99.90,31. 08. 2020
 Vinařství Mutěnice Epic Rulandské šedé víno bílé,0.75l,-41%,169.90,99.90,31. 08. 2020
 Vinařství Mutěnice Epic Tramín červený víno bílé,0.75l,-41%,169.90,99.90,31. 08. 2020
 Vinné sklepy Milotice Müller Thurgau bílé víno polosuché,0.75l,-44%,89.90,49.90,31. 08. 2020
 Vinné sklepy Milotice Rulandské bílé víno bílé suché,0.75l,-44%,89.90,49.90,31. 08. 2020
 Vinné sklepy Milotice Veltlínské zelené bílé víno suché,0.75l,-44%,89.90,49.90,31. 08. 2020
 Vinný Sklep Sovín Chardonnay bílé víno,0.75l,-20%,99.90,79.90,31. 08. 2020
 Vinný Sklep Sovín Muškát moravský bílé víno,0.75l,-20%,99.90,79.90,31. 08. 2020
 Vinný Sklep Sovín Rulandské šedé bílé víno,0.75l,-20%,99.90,79.90,31. 08. 2020
 Víno Mikulov Rulandské bílé jakostní odrůdové suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Mikulov Ryzlink rýnský jakostní víno odrůdové suché bílé,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Mikulov Sauvignon jakostní odrůdové suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Mikulov Svatý Urban bílé víno polosladké,0.75l,-28%,69.90,49.90,31. 08. 2020
 Víno Motýl Chardonnay suché bílé víno,0.75l,-30%,99.90,69.90,31. 08. 2020
